EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung;;
Untertitel;als Tackersystem liefern und montieren;;
;- Tackerplatte (diverse Wärmeleitgruppen);;
;- Heizrohr PE-RT 17x2 mm;;
;- Tackernadeln für Heizrohr 14-17 mm;;
;- PE-Randdämmstreifen 10/150 | Comfort;;
;- selbstklebend | mit Folienlasche | 50 lfm;;
;- Klebeband extrem reißfest | 50 mm breit | Rolle = 66 m;;
;- Klemmverschraubung 16/17x2,0 mm - einzeln;;
;- Rohrverbinder (Kupplung) 16x16/17x17 mm, mit zwei gleichen Presshülsen;;
;- Winkelspangen, Kunststoff schwarz, Rohrführung zum Umlenken der Heizrohre im Verteilerbereich, für Rohre 14-18 mm;;
;- Dehnfugenschutzrohr zum Isolieren der Vor-/Rückläufe ;;
;- Dehnfugenschutzrohr geschlitzt für Rohr bis 20 mm im Bereich der Dehnfugen | ca. 300 mm lang ;;
;- Estrichnessstellenmarkierung;;
;- Baustelleneinrichtung, Müllentsorgung, Bauleitung, Heizflächenauslegung und Abdrücken der Fußbodenheizung mit Luft sind im Preis enthalten;;
;- nicht enthalten: Montage der Verteiler, Schränke, Klemmleisten, Stellantriebe, Raumthermostate ;;
;;;
H54NO0001 01;Tackerplatte WLG045 20-2 mm;€/m²;26,9
H54NO0005 01;Tackerplatte WLG045 30-3 mm;€/m²;27,4
H54NO0010 01;Tackerplatte WLG040 30-2 mm;€/m²;27,7
H54NO0015 01;Tackerplatte WLG035 30 mm;€/m²;28,8
;;;
Zwischentitel;wir vor, jedoch mit Systemplatte Flipfix;;
100BIE032;2 mm Hohlkammer-Platte;€/m²;29,1
100BIE033;nur Rohr, Dämmung komplett bauseits;€/m²;19,7
;;;
Titel;Mehrpreise für Rohrvarianten;;
Untertitel;Für die Verlegung eines anderen Heizrohrs;;
H54NO5000 01;Xc-/Xa-Rohr 16/17x2 mm;€/m²;1,5
H54NO5005 01;Metall/Aluverbundrohr 16x2 mm;€/m²;1,6
;;;
Untertitel;Engerer Verlegeabstand des Heizrohres, zum Beispiel für Kühlfunktion;;
H54NO5015 01;Verlegeabstand 100 mm;€/m²;2,9
